,MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude
0,8.3252,,6.984126984126984,1.0238095238095237,322.0,2.5555555555555554,,-122.23
1,8.3014,21.0,6.238137082601054,0.9718804920913884,2401.0,2.109841827768014,,-122.22
2,7.2574,52.0,8.288135593220339,1.073446327683616,496.0,2.8022598870056497,,-122.24
3,,52.0,5.8173515981735155,1.0730593607305936,558.0,2.547945205479452,,-122.25
4,,52.0,6.281853281853282,1.0810810810810811,565.0,2.1814671814671813,37.85,
5,4.0368,52.0,4.761658031088083,,,2.139896373056995,37.85,-122.25
6,,52.0,4.9319066147859925,0.9513618677042801,,2.1284046692607004,37.84,-122.25
7,3.12,52.0,4.797527047913447,,1157.0,1.7882534775888717,37.84,-122.25
8,2.0804,42.0,4.294117647058823,,1206.0,2.026890756302521,,-122.26
9,3.6912,52.0,4.970588235294118,,1551.0,2.172268907563025,37.84,-122.25
10,3.2031,52.0,5.477611940298507,,,2.263681592039801,37.85,-122.26
11,3.2705,52.0,4.772479564032698,,1504.0,,,-122.26
12,3.075,52.0,,,1098.0,,37.85,-122.26
13,2.6736,52.0,,1.0977011494252873,,1.9827586206896552,,-122.26
14,,52.0,4.262903225806451,1.0096774193548388,1212.0,1.9548387096774194,37.85,-122.26
15,2.125,50.0,4.242424242424242,1.071969696969697,697.0,2.640151515151515,37.85,-122.26
16,2.775,52.0,,1.0483383685800605,,2.395770392749245,,-122.27
17,2.1202,52.0,4.052805280528053,0.966996699669967,648.0,2.1386138613861387,37.85,-122.27
18,1.9911,50.0,,1.0859188544152745,990.0,2.3627684964200477,,
19,2.6033,52.0,,1.0836363636363637,690.0,2.5090909090909093,,
20,1.3578,,4.524096385542169,,409.0,2.463855421686747,37.85,-122.27
21,,42.0,4.478142076502732,,929.0,2.5382513661202184,37.85,-122.27
22,1.725,52.0,5.096234309623431,,1015.0,2.1234309623430963,37.84,-122.27
23,2.1806,,5.193846153846154,,853.0,2.624615384615385,37.84,-122.27
24,2.6,52.0,,,1006.0,2.3838862559241707,37.84,-122.27
25,2.4038,41.0,4.495798319327731,1.0336134453781514,317.0,2.6638655462184873,,-122.28
26,2.4597,,4.7280334728033475,1.0209205020920502,607.0,2.5397489539748954,37.85,-122.28
27,1.808,52.0,4.7808564231738035,1.0604534005037782,,,,-122.28
28,1.6424,50.0,4.40169133192389,1.040169133192389,,2.3911205073995774,37.84,-122.28
29,1.6875,52.0,4.703225806451613,1.032258064516129,,2.5483870967741935,37.84,-122.28
30,,49.0,5.068783068783069,1.1825396825396826,863.0,2.2830687830687832,37.84,
31,,52.0,4.882086167800454,1.090702947845805,,2.6485260770975056,37.84,
32,1.7969,48.0,5.737313432835821,1.2208955223880598,,3.062686567164179,37.84,-122.27
33,1.375,49.0,,1.1124620060790273,754.0,2.291793313069909,,
34,2.7303,51.0,4.972014925373134,1.0708955223880596,,,,-122.27
35,1.4861,49.0,,,570.0,2.159090909090909,,-122.27
36,1.0972,48.0,4.807486631016043,1.1550802139037433,987.0,2.6390374331550803,37.83,-122.27
37,,52.0,3.7493796526054592,,901.0,2.235732009925558,37.83,-122.28
38,3.48,52.0,,,689.0,2.2297734627831716,,
39,2.5898,52.0,3.4942528735632186,,,1.978448275862069,37.83,-122.26
40,,52.0,4.215189873417722,1.0607594936708862,946.0,2.3949367088607594,,-122.26
41,,51.0,3.7590361445783134,1.248995983935743,517.0,2.076305220883534,,
42,1.025,49.0,,1.0687830687830688,462.0,2.4444444444444446,37.84,
43,3.9643,52.0,4.797979797979798,1.02020202020202,467.0,2.3585858585858586,,-122.26
44,3.0125,52.0,4.941780821917808,1.0650684931506849,,2.26027397260274,37.83,-122.26
45,,52.0,,,718.0,1.8795811518324608,37.83,-122.26
46,2.026,,,1.0592105263157894,616.0,2.026315789473684,37.83,-122.26
47,1.7348,43.0,3.9802371541501977,1.233201581027668,558.0,2.205533596837945,37.82,-122.27
48,0.9506,40.0,3.9,,423.0,2.64375,37.82,-122.26
49,1.775,40.0,,,700.0,,37.82,-122.27
50,0.9218,21.0,,1.0342465753424657,735.0,1.678082191780822,37.82,-122.27
51,1.5045,43.0,,1.1203931203931203,1061.0,2.6068796068796067,37.82,-122.27
52,1.1108,41.0,,,1959.0,2.720833333333333,,-122.27
53,1.2475,,,,,2.905,,-122.27
54,1.6098,,5.021459227467811,,701.0,3.0085836909871246,37.82,-122.28
55,1.4113,52.0,4.295454545454546,1.1045454545454545,576.0,2.618181818181818,37.82,
56,1.5057,52.0,4.77992277992278,,622.0,2.4015444015444016,,
57,0.8172,,6.102459016393443,1.3729508196721312,728.0,2.9836065573770494,37.82,
58,1.2171,52.0,4.5625,,,3.5328947368421053,37.82,-122.28
59,,2.0,2.7719298245614037,0.7543859649122807,94.0,1.6491228070175439,37.82,-122.29
60,3.3929,,,1.1283422459893049,554.0,2.962566844919786,,-122.29
61,6.1183,49.0,,1.2608695652173914,86.0,3.739130434782609,37.82,-122.29
62,0.9011,,6.229508196721311,,,3.0901639344262297,,-122.29
63,1.191,52.0,,1.490566037735849,521.0,3.2767295597484276,,-122.3
64,2.5938,48.0,,,392.0,2.9473684210526314,37.81,-122.3
65,1.1667,,5.401069518716578,1.1176470588235294,,3.229946524064171,,-122.3
66,0.8056,48.0,,1.0662650602409638,,2.3734939759036147,37.81,-122.3
67,2.6094,52.0,,,492.0,3.3469387755102042,,-122.29
68,1.8516,,6.975609756097561,1.329268292682927,274.0,3.341463414634146,37.81,-122.3
69,0.9802,46.0,4.584288052373159,1.0540098199672667,1823.0,2.983633387888707,37.81,-122.29
70,1.7719,26.0,6.047244094488189,,392.0,3.0866141732283463,37.81,-122.29
71,0.7286,,3.375451263537906,1.0722021660649819,582.0,2.101083032490975,37.81,
72,,,5.552631578947368,1.3421052631578947,,3.6842105263157894,37.81,-122.29
73,0.4999,46.0,,,,2.5714285714285716,37.81,
74,2.483,20.0,6.2781954887218046,1.2105263157894737,290.0,2.180451127819549,37.81,-122.29
75,0.9241,17.0,,,762.0,,37.81,-122.28
76,2.4464,36.0,5.724950884086444,1.1041257367387034,,2.4282907662082516,,
77,1.1111,,,1.173913043478261,721.0,3.4830917874396135,37.81,-122.28
78,0.8026,23.0,5.369230769230769,1.1507692307692308,1054.0,3.243076923076923,,-122.29
79,2.0114,,4.412903225806452,1.135483870967742,,2.2193548387096773,37.8,-122.28
80,,,3.1972318339100347,,609.0,2.1072664359861593,,-122.28
81,1.1667,52.0,,1.0,183.0,3.267857142857143,37.81,-122.27
82,,52.0,,1.1149425287356323,200.0,2.2988505747126435,37.81,-122.28
83,0.8075,52.0,,,,2.232258064516129,37.81,
84,1.8088,,5.609467455621302,1.0887573964497042,467.0,2.7633136094674557,,
85,2.4083,52.0,6.721739130434782,,377.0,3.2782608695652176,37.81,-122.28
86,0.977,40.0,2.3157894736842106,1.186842105263158,582.0,1.5315789473684212,,
87,0.76,10.0,2.6515151515151514,1.0545454545454545,546.0,1.6545454545454545,37.81,-122.27
88,0.9722,10.0,2.6923076923076925,,125.0,3.2051282051282053,,-122.27
89,,,2.929411764705882,0.9176470588235294,396.0,4.658823529411765,37.8,-122.27
90,,16.0,,1.0828729281767955,800.0,,37.8,-122.27
91,0.8668,52.0,,0.9886363636363636,904.0,10.272727272727273,,-122.28
92,0.75,52.0,2.823529411764706,0.9117647058823529,191.0,5.617647058823529,37.8,-122.28
93,2.6354,27.0,3.493377483443709,1.1490066225165563,718.0,2.377483443708609,37.79,-122.27
94,1.8477,39.0,3.6723768736616704,1.3340471092077089,1327.0,2.841541755888651,,-122.27
95,,36.0,2.294016358157555,1.066293585880327,3469.0,1.493327593628928,37.8,
96,,,,,2048.0,1.735593220338983,37.82,-122.26
97,,29.0,,,202.0,2.21978021978022,37.81,-122.26
98,1.2185,,,1.016,2024.0,1.6192,37.82,-122.26
